Artiest;Song;Jaartal;Groep
Freddie Joachim;Looking Back;2011;51
Aretha Franklin;No One Could Ever Love You More;1977;52
Sean Price feat. Buckshot;Bye Bye ;2005;52
Aretha Franklin;When I Think About You;1977;53
DJ Buda feat. Matt Fingaz;Six Cents;2000;53
Kaze and 9th Wonder;50/50 Amp;2005;53
Aretha Franklin;Break It to Me Gently;1977;54
Defari;Odds & Evens ;2003;54
Children of the Corn;Hard to Get By;2003;54
Spectac;Green I's by Spectac;2010;54
Aretha Franklin;More Than Just a Joy;1978;55
J Dilla;Track 32 ;2005;55
The Blues Brothers feat. Aretha Franklin;Think ;1980;56
D.J. H. feat. Stefy;Think About…;1990;56
Aretha Franklin;"Jump to It (12"" Disco Version)";1982;57
Tom Novy;Your Body;2004;57
Soho;Hot Music (Jazz Mix);1989;57
Ohbliv;Backup(2it);2012;57
Kerrier District;Kiss My Bass;2011;57
Wee Papa Girl Rappers;Get in the Groove ;1990;57
Aretha Franklin;Jump to It;1982;58
Ser & Duff;Big Apple Production Vol. 1;1982;58
The Gt and Jean Sx;Time Has Come;1982;58
Yankee Dollar and Fat Cat;Swamp Swing ;1987;58
Debonaire;Name That Toon ;1988;58
Big Daddy Kane;The House That Cee Built;1989;58
Altern 8;Frequency;1991;58
The Lyrical Poet;Bob to Tha Rhythm ;1993;58
Wildchild;Jump to My Beat;1996;58
Two Faces;Danse Sur Le Funky;1996;58
Jermaine Dupri feat. Da Brat and LaTocha Scott;All That's Got to Go;1998;58
Yo-Yo feat. Kelly Price;Do You Wanna Ride?;1998;58
Melgroove;Apoca Arrive;1998;58
De La Soul;The Art of Getting Jumped ;2000;58
Patrick Alavi;Come 2 Me;2005;58
Pete Rock feat. Lords of the Underground;The Best Secret;2008;58
Matt Hughes;Can't Talk Now;2008;58
Jazmine Sullivan;Don't Make Me Wait;2010;58
Soulmagic;Aretha's Groove;2012;58
Aretha Franklin;This Is for Real ;1982;59
Sean Price ;I Love You (Bitch);2005;59
Aretha Franklin;Who's Zoomin' Who;1985;60
Planet Asia;On Your Way 93706;2006;60
Evidence;My Way 90291;2008;60
Sir Michael Rocks;Cell Dope;2011;60
Aretha Franklin;Freeway of Love;1985;61
"""Weird Al"" Yankovic";Polka Party!;1986;61
Aretha Franklin;Jimmy Lee;1986;62
Su-Preme;Aciddrop;2008;62
Aretha Franklin;Rock-A-Lott;1987;63
49ers;Touch Me;1990;63
Lee Marrow;Movin';1990;63
D.J. H. feat. Stefy;Think About…;1990;63
D.J. H. feat. Stefy;I Like It (Italian House Mix);1991;63
Aretha Franklin;A Deeper Love;1993;64
Naughty Naughty;Untitled (Vol 9a);1994;64
Lootbeggars;Deeper Synths N Strings;2001;64
Synkro;Everyday ;2009;64
The Kleptones;Deeper Sand;2010;64
Moon Boots;Bills to Pay;2012;64
Junior Sanchez and Sultan + Ned Shepard;A Deeper Love;2014;64
Aretha Franklin;A Deeper Love (Tribesman Mix);1994;65
Mustafa Sandal;Bu Kiz Beni Gormeli;1994;65
Aretha Franklin;It Hurts Like Hell;1995;66
Trae;Song Cry;2006;66
